,Unnamed: 0,path,strain,date,pos,gl,condition,lane_ID,id,parent_id,daughter_type,first_frame,last_frame,end_type,genealogy,frame,vertical_top,vertical_bottom,length_moma,cell_num_in_lane,total_cell_in_lane,length_pixel,fluo_bg_ch_1,fluo_ampl_ch_1,fluo_bg_ch_2,fluo_ampl_ch_2,fluo_bg_ch_3,fluo_ampl_ch_3,fluo_bg_ch_4,fluo_ampl_ch_4,touch_bottom,cid,fluo_background,fluo_amplitude,ndgt,end_type_moma,time_sec,length_um,discard_start,discard_top,cell,gl_id,vertical_center,medium,m_start,m_end,m_cycle,start_time,end_time,b_rank,c_step,acq_freq_sec,autofluo_ch_1,autofluo_ch_2,fluo_ampl_ch_1_nocomp,log_resc_length_moma,cell_,sub_ind
5017,5018,./data_theo/20191018/20191018_curated/20191018_E08_bolA/20191018_glc_spcm_1_MMStack_Pos0_preproc_GL03/ExportedCellStats_20191018_glc_spcm_1_MMStack_Pos0_preproc_GL03.tif.csv,E08_bolA,20191018,0,3,M9_M9zero_M9,20191018_0_3,85,82,BOTTOM,241,488,div,0:1BBBBBBBBBBTB,282,136,166,1.95,6,8,23.1,5264.5180048622,23536.7355765086,3697.85269834859,6687.52744535151,,,,,0,0BBBBBBBBBBTB,5264.5180048622,25120.183867477797,2,div,62640.0,1.5015,False,False,20191018_0_3_85,20191018.0.3,151.0,SPM,43200.0,151199.99999,1.0,43380.0,166140.0,2,SPM.1,720.0,172.38,134.745,24947.803867477796,0.6678293725756554,20191018_0_3_85.0,21.0
5018,5019,./data_theo/20191018/20191018_curated/20191018_E08_bolA/20191018_glc_spcm_1_MMStack_Pos0_preproc_GL03/ExportedCellStats_20191018_glc_spcm_1_MMStack_Pos0_preproc_GL03.tif.csv,E08_bolA,20191018,0,3,M9_M9zero_M9,20191018_0_3,85,82,BOTTOM,241,488,div,0:1BBBBBBBBBBTB,283,136,166,1.95,6,8,25.1,5252.59137523995,23513.4566930854,3711.5735771350605,6471.37965859219,,,,,0,0BBBBBBBBBBTB,5252.59137523995,25051.297801048397,2,div,63360.0,1.6315,False,False,20191018_0_3_85,20191018.0.3,151.0,SPM,43200.0,151199.99999,1.0,43380.0,166140.0,2,SPM.1,720.0,172.38,134.745,24878.9178010484,0.6678293725756554,20191018_0_3_85.0,22.0
5019,5020,./data_theo/20191018/20191018_curated/20191018_E08_bolA/20191018_glc_spcm_1_MMStack_Pos0_preproc_GL03/ExportedCellStats_20191018_glc_spcm_1_MMStack_Pos0_preproc_GL03.tif.csv,E08_bolA,20191018,0,3,M9_M9zero_M9,20191018_0_3,85,82,BOTTOM,241,488,div,0:1BBBBBBBBBBTB,284,136,166,1.95,6,8,25.1,5261.18940951336,24243.5083690835,3699.45516318561,6610.27587897348,,,,,0,0BBBBBBBBBBTB,5261.18940951336,25810.6565795469,2,div,64080.0,1.6315,False,False,20191018_0_3_85,20191018.0.3,151.0,SPM,43200.0,151199.99999,1.0,43380.0,166140.0,2,SPM.1,720.0,172.38,134.745,25638.2765795469,0.6678293725756554,20191018_0_3_85.0,23.0
5020,5021,./data_theo/20191018/20191018_curated/20191018_E08_bolA/20191018_glc_spcm_1_MMStack_Pos0_preproc_GL03/ExportedCellStats_20191018_glc_spcm_1_MMStack_Pos0_preproc_GL03.tif.csv,E08_bolA,20191018,0,3,M9_M9zero_M9,20191018_0_3,85,82,BOTTOM,241,488,div,0:1BBBBBBBBBBTB,285,135,165,1.95,6,8,24.1,5271.71595105326,24875.0491526271,3710.49885051185,6538.091108656279,,,,,0,0BBBBBBBBBBTB,5271.71595105326,26426.9663765536,2,div,64800.0,1.5665,False,False,20191018_0_3_85,20191018.0.3,150.0,SPM,43200.0,151199.99999,1.0,43380.0,166140.0,2,SPM.1,720.0,172.38,134.745,26254.586376553598,0.6678293725756554,20191018_0_3_85.0,24.0
5021,5022,./data_theo/20191018/20191018_curated/20191018_E08_bolA/20191018_glc_spcm_1_MMStack_Pos0_preproc_GL03/ExportedCellStats_20191018_glc_spcm_1_MMStack_Pos0_preproc_GL03.tif.csv,E08_bolA,20191018,0,3,M9_M9zero_M9,20191018_0_3,85,82,BOTTOM,241,488,div,0:1BBBBBBBBBBTB,286,135,165,1.95,6,8,27.1,5288.7090239954,25386.460698867202,3687.11519433079,6664.25478381183,,,,,0,0BBBBBBBBBBTB,5288.7090239954,26964.9984582515,2,div,65520.0,1.7615,False,False,20191018_0_3_85,20191018.0.3,150.0,SPM,43200.0,151199.99999,1.0,43380.0,166140.0,2,SPM.1,720.0,172.38,134.745,26792.618458251498,0.6678293725756554,20191018_0_3_85.0,25.0
5022,5023,./data_theo/20191018/20191018_curated/20191018_E08_bolA/20191018_glc_spcm_1_MMStack_Pos0_preproc_GL03/ExportedCellStats_20191018_glc_spcm_1_MMStack_Pos0_preproc_GL03.tif.csv,E08_bolA,20191018,0,3,M9_M9zero_M9,20191018_0_3,85,82,BOTTOM,241,488,div,0:1BBBBBBBBBBTB,287,135,165,1.95,6,8,26.1,5256.80452505779,26781.699121420697,3689.43669695471,6809.437924614929,,,,,0,0BBBBBBBBBBTB,5256.80452505779,28390.870523514503,2,div,66240.0,1.6965,False,False,20191018_0_3_85,20191018.0.3,150.0,SPM,43200.0,151199.99999,1.0,43380.0,166140.0,2,SPM.1,720.0,172.38,134.745,28218.4905235145,0.6678293725756554,20191018_0_3_85.0,26.0
5023,5024,./data_theo/20191018/20191018_curated/20191018_E08_bolA/20191018_glc_spcm_1_MMStack_Pos0_preproc_GL03/ExportedCellStats_20191018_glc_spcm_1_MMStack_Pos0_preproc_GL03.tif.csv,E08_bolA,20191018,0,3,M9_M9zero_M9,20191018_0_3,85,82,BOTTOM,241,488,div,0:1BBBBBBBBBBTB,288,136,166,1.95,6,8,23.1,5201.60581603832,28317.7924352596,3678.3675842343396,7308.752188834971,,,,,0,0BBBBBBBBBBTB,5201.60581603832,30032.319147103797,2,div,66960.0,1.5015,False,False,20191018_0_3_85,20191018.0.3,151.0,SPM,43200.0,151199.99999,1.0,43380.0,166140.0,2,SPM.1,720.0,172.38,134.745,29859.9391471038,0.6678293725756554,20191018_0_3_85.0,27.0
5024,5025,./data_theo/20191018/20191018_curated/20191018_E08_bolA/20191018_glc_spcm_1_MMStack_Pos0_preproc_GL03/ExportedCellStats_20191018_glc_spcm_1_MMStack_Pos0_preproc_GL03.tif.csv,E08_bolA,20191018,0,3,M9_M9zero_M9,20191018_0_3,85,82,BOTTOM,241,488,div,0:1BBBBBBBBBBTB,289,136,166,1.95,6,8,25.1,5274.39535710711,25978.9111398733,3683.5539049132,6513.79795743318,,,,,0,0BBBBBBBBBBTB,5274.39535710711,27525.7025088917,2,div,67680.0,1.6315,False,False,20191018_0_3_85,20191018.0.3,151.0,SPM,43200.0,151199.99999,1.0,43380.0,166140.0,2,SPM.1,720.0,172.38,134.745,27353.3225088917,0.6678293725756554,20191018_0_3_85.0,28.0
5025,5026,./data_theo/20191018/20191018_curated/20191018_E08_bolA/20191018_glc_spcm_1_MMStack_Pos0_preproc_GL03/ExportedCellStats_20191018_glc_spcm_1_MMStack_Pos0_preproc_GL03.tif.csv,E08_bolA,20191018,0,3,M9_M9zero_M9,20191018_0_3,85,82,BOTTOM,241,488,div,0:1BBBBBBBBBBTB,290,135,165,1.95,6,8,26.1,5266.71065373787,26550.583376988398,3695.46787415693,6508.81662923615,,,,,0,0BBBBBBBBBBTB,5266.71065373787,28096.3236857572,2,div,68400.0,1.6965,False,False,20191018_0_3_85,20191018.0.3,150.0,SPM,43200.0,151199.99999,1.0,43380.0,166140.0,2,SPM.1,720.0,172.38,134.745,27923.943685757204,0.6678293725756554,20191018_0_3_85.0,29.0
5026,5027,./data_theo/20191018/20191018_curated/20191018_E08_bolA/20191018_glc_spcm_1_MMStack_Pos0_preproc_GL03/ExportedCellStats_20191018_glc_spcm_1_MMStack_Pos0_preproc_GL03.tif.csv,E08_bolA,20191018,0,3,M9_M9zero_M9,20191018_0_3,85,82,BOTTOM,241,488,div,0:1BBBBBBBBBBTB,291,136,166,1.95,6,8,26.1,5232.81780397199,26887.205249036,3678.9498489031603,6718.402765050911,,,,,0,0BBBBBBBBBBTB,5232.81780397199,28477.1682324617,2,div,69120.0,1.6965,False,False,20191018_0_3_85,20191018.0.3,151.0,SPM,43200.0,151199.99999,1.0,43380.0,166140.0,2,SPM.1,720.0,172.38,134.745,28304.7882324617,0.6678293725756554,20191018_0_3_85.0,30.0
